date,open,close,high,low,amount
2025-12-18,79.0,67.23,79.0,65.65,152947.0
2025-12-19,61.0,57.49,61.96,57.45,117000.0
2025-12-22,55.5,54.19,56.58,54.04,84506.0
2025-12-23,53.26,55.71,58.21,51.4,110756.0
2025-12-24,52.9,52.06,53.33,52.01,71826.0
2025-12-25,51.62,51.57,52.04,51.2,40886.0
2025-12-26,51.28,51.39,51.95,51.21,33716.0
2025-12-29,51.3,50.19,51.31,50.08,36017.0
2025-12-30,50.0,49.39,50.15,49.39,25923.0
2025-12-31,49.41,49.17,49.66,49.16,18730.0
2026-01-05,49.06,49.59,49.66,49.06,18665.0
2026-01-06,49.46,49.93,49.99,49.41,19052.0
2026-01-07,49.91,50.15,50.52,49.57,25918.0
2026-01-08,50.0,50.03,50.25,49.82,17674.0
2026-01-09,50.08,50.13,50.23,49.94,18615.0
2026-01-12,50.23,50.31,50.39,49.91,21881.0
2026-01-13,50.32,50.57,50.85,50.0,27097.0
2026-01-14,50.57,50.24,50.9,50.04,25050.0
2026-01-15,50.0,50.14,50.48,49.93,15376.0
2026-01-16,50.1,50.93,50.94,50.07,24554.0
2026-01-19,50.9,52.45,52.5,50.69,40418.0
2026-01-20,52.44,51.46,52.44,51.16,23897.0
2026-01-21,51.29,51.59,51.7,51.13,15593.0
2026-01-22,51.59,51.28,51.68,51.22,13981.0
2026-01-23,51.32,51.54,51.58,51.2,13962.0
2026-01-26,51.52,52.0,52.48,51.39,24291.0
2026-01-27,51.75,51.85,52.39,50.35,20253.0
2026-01-28,51.7,51.1,52.0,51.03,15782.0
2026-01-29,51.13,50.2,51.13,50.18,16313.0
2026-01-30,50.0,51.48,51.97,49.91,26013.0
2026-02-02,51.31,50.64,51.75,50.62,14342.0
2026-02-03,50.71,50.85,51.11,50.33,12178.0
2026-02-04,50.94,51.22,51.71,50.85,14238.0
2026-02-05,51.21,51.12,51.29,50.64,11964.0
2026-02-06,50.82,51.22,51.5,50.69,12711.0
2026-02-09,51.49,52.1,52.16,51.21,18616.0
2026-02-10,52.11,52.0,52.28,51.7,11453.0
2026-02-11,51.81,51.65,52.15,51.62,8670.0
2026-02-12,51.64,51.09,51.65,50.92,12058.0
2026-02-13,50.99,50.6,51.22,50.52,8810.0
2026-02-24,50.6,51.02,51.05,50.6,6289.0
2026-02-25,51.02,51.74,51.77,50.9,13391.0
2026-02-26,51.67,52.83,53.97,51.45,32377.0
2026-02-27,52.83,52.99,53.44,52.61,17314.0
2026-03-02,52.18,52.16,53.9,51.94,21892.0
2026-03-03,52.25,50.68,53.68,50.68,24539.0
2026-03-04,50.0,49.87,50.98,49.3,16407.0
2026-03-05,50.3,50.01,51.0,49.65,11745.0
2026-03-06,49.91,52.65,52.88,49.71,26302.0
2026-03-09,52.01,53.88,53.89,52.01,34578.0
2026-03-10,53.88,56.26,56.35,53.5,43523.0
2026-03-11,57.22,56.1,58.76,55.51,61899.0
2026-03-12,56.0,56.9,57.0,54.75,28863.0
2026-03-13,56.8,56.0,57.62,55.95,28334.0
2026-03-16,55.95,56.2,56.68,55.2,17115.0
2026-03-17,56.15,54.0,56.63,53.97,31096.0
2026-03-18,54.89,53.3,54.97,52.14,19505.0
2026-03-19,53.1,54.12,54.66,52.6,27502.0
2026-03-20,54.09,56.88,58.18,54.09,54261.0
2026-03-23,57.3,54.11,57.45,53.7,33600.0
2026-03-24,55.28,54.33,56.35,52.66,32389.0
2026-03-25,54.0,52.92,54.94,52.07,31634.0
2026-03-26,52.92,53.33,53.92,52.2,28665.0
2026-03-27,52.76,53.89,54.1,52.0,25616.0
2026-03-30,53.0,54.88,56.1,53.0,43586.0
2026-03-31,55.57,55.88,56.49,54.53,43623.0
2026-04-01,56.51,56.88,57.29,55.7,41692.0
2026-04-02,57.0,57.88,58.0,56.6,38232.0
2026-04-03,57.49,58.88,58.91,56.51,46159.0
2026-04-07,58.88,58.98,60.5,58.02,58109.0
2026-04-08,58.9,59.99,60.04,58.3,50263.0
2026-04-09,59.5,61.99,62.0,59.11,45408.0
2026-04-10,61.55,62.01,64.0,61.0,59616.0
2026-04-13,61.39,62.23,62.43,60.51,34574.0
2026-04-14,62.5,62.72,62.81,61.8,41273.0
2026-04-15,63.0,63.24,63.4,61.46,44431.0
2026-04-16,63.18,64.9,65.99,62.89,43206.0
2026-04-17,64.64,64.64,65.56,64.01,40794.0
2026-04-20,64.0,65.12,65.5,63.04,33051.0
2026-04-21,64.9,64.78,65.75,64.57,21862.0
2026-04-22,65.02,65.22,66.37,64.88,27042.0
2026-04-23,65.15,65.59,65.88,64.0,57447.0
2026-04-24,64.08,64.68,65.48,63.5,38792.0
2026-04-27,64.0,58.21,64.0,58.21,24813.0
2026-04-28,52.39,54.04,56.46,52.39,48178.0
2026-04-29,53.6,54.94,55.29,53.04,38211.0
2026-04-30,54.88,54.65,55.56,54.04,22799.0
2026-05-06,54.38,52.56,54.63,49.25,46465.0
2026-05-07,52.43,53.1,53.14,51.72,23856.0
2026-05-08,53.0,54.35,54.89,52.42,27389.0
2026-05-11,54.34,53.36,55.44,52.45,27893.0
2026-05-12,53.38,52.3,54.0,51.87,18260.0
2026-05-13,52.0,51.25,52.05,51.2,21533.0
2026-05-14,51.26,49.4,51.26,49.3,26000.0
