date,open,close,high,low,amount
2025-12-01,57.69,58.45,59.13,56.24,1377362.0
2025-12-02,58.41,59.84,61.34,58.02,1813965.0
2025-12-03,59.92,58.66,60.24,58.29,1080866.0
2025-12-04,58.45,59.47,59.57,56.95,1038909.0
2025-12-05,59.46,59.09,59.52,58.55,716996.0
2025-12-08,58.94,59.92,60.55,58.58,1114481.0
2025-12-09,59.91,60.44,61.35,59.44,1106581.0
2025-12-10,59.74,59.37,59.74,57.86,956685.0
2025-12-11,59.32,58.09,61.14,58.03,876398.0
2025-12-12,58.07,60.22,60.72,57.44,1321919.0
2025-12-15,59.39,57.2,59.51,57.13,1226735.0
2025-12-16,56.54,57.17,57.73,56.16,724960.0
2025-12-17,56.99,58.5,58.63,56.92,761786.0
2025-12-18,57.67,56.82,58.01,56.8,599647.0
2025-12-19,57.05,56.62,57.71,56.59,618461.0
2025-12-22,56.94,57.57,58.1,56.83,777263.0
2025-12-23,57.39,57.89,58.44,57.27,775056.0
2025-12-24,58.02,59.13,59.46,57.45,918593.0
2025-12-25,58.84,59.27,59.79,58.09,794110.0
2025-12-26,59.02,58.24,59.04,58.21,742665.0
2025-12-29,57.94,58.06,59.2,57.75,930551.0
2025-12-30,57.82,57.91,59.22,57.02,991647.0
2025-12-31,58.39,56.55,58.49,56.24,1049052.0
2026-01-05,56.96,58.39,59.33,56.95,1594553.0
2026-01-06,58.72,59.06,59.34,57.66,1415400.0
2026-01-07,58.84,57.39,58.94,56.64,1873574.0
2026-01-08,56.86,55.0,56.9,54.61,2401117.0
2026-01-09,54.69,55.49,56.14,53.84,1540790.0
2026-01-12,55.04,55.27,55.44,53.84,1883905.0
2026-01-13,55.49,54.42,56.39,54.18,1334982.0
2026-01-14,54.04,53.42,54.64,53.3,1699139.0
2026-01-15,53.18,57.21,57.41,53.07,2628471.0
2026-01-16,58.12,57.92,59.75,57.75,2599903.0
2026-01-19,57.94,57.7,60.32,57.64,1957200.0
2026-01-20,57.74,57.3,58.17,55.15,1772260.0
2026-01-21,56.49,56.9,58.14,56.44,1117199.0
2026-01-22,57.27,56.25,58.19,55.94,1498042.0
2026-01-23,56.47,55.34,56.47,54.84,1449254.0
2026-01-26,55.22,53.93,55.24,53.85,1271112.0
2026-01-27,54.16,53.56,54.63,52.7,1227843.0
2026-01-28,53.54,53.12,54.79,52.66,1511949.0
2026-01-29,52.84,51.73,52.97,51.57,1472606.0
2026-01-30,51.45,51.53,52.34,50.86,1085588.0
2026-02-02,51.83,52.06,53.44,51.83,1384862.0
2026-02-03,52.67,52.3,53.23,51.09,1046638.0
2026-02-04,51.85,51.74,51.89,50.49,1244424.0
2026-02-05,51.34,51.54,52.42,51.26,759859.0
2026-02-06,51.21,51.01,51.85,50.54,724911.0
2026-02-09,51.83,51.56,51.84,51.17,775300.0
2026-02-10,51.53,51.53,51.82,51.21,746831.0
2026-02-11,51.23,50.99,51.76,50.86,689452.0
2026-02-12,51.1,50.43,51.33,50.3,970240.0
2026-02-13,49.91,50.8,51.08,49.26,1144926.0
2026-02-24,51.41,50.63,51.49,50.51,844153.0
2026-02-25,50.55,51.58,51.93,50.47,1247048.0
2026-02-26,51.59,51.16,51.63,51.04,1064251.0
2026-02-27,50.65,50.22,50.69,49.32,1272716.0
2026-03-02,49.31,49.11,49.72,48.38,1289834.0
2026-03-03,49.16,47.39,49.74,47.2,1360265.0
2026-03-04,46.67,46.28,47.09,45.8,1198906.0
2026-03-05,47.0,47.0,47.76,46.88,1008733.0
2026-03-06,46.59,47.3,47.42,46.47,732496.0
2026-03-09,46.27,46.5,46.62,45.43,973749.0
