date,open,close,high,low,amount
2025-12-01,1427.04,1424.04,1438.31,1418.04,27333.0
2025-12-02,1424.04,1412.07,1427.96,1411.06,25047.0
2025-12-03,1411.85,1405.14,1412.01,1404.04,23573.0
2025-12-04,1405.14,1400.02,1408.54,1394.42,29075.0
2025-12-05,1400.02,1406.05,1409.13,1395.54,25402.0
2025-12-08,1405.24,1394.26,1412.71,1394.04,33603.0
2025-12-09,1394.27,1377.05,1397.04,1376.09,42634.0
2025-12-10,1376.04,1378.84,1378.84,1359.22,33133.0
2025-12-11,1382.7,1388.03,1388.03,1377.59,22385.0
2025-12-12,1394.04,1396.69,1401.04,1389.61,37159.0
2025-12-15,1415.63,1402.04,1416.03,1401.61,33359.0
2025-12-16,1402.24,1398.04,1404.82,1391.04,23964.0
2025-12-17,1401.04,1409.14,1415.98,1393.72,31382.0
2025-12-18,1409.54,1407.04,1414.92,1402.15,17830.0
2025-12-19,1410.0,1410.0,1412.45,1401.01,26509.0
2025-12-22,1410.0,1408.26,1414.14,1406.58,20426.0
2025-12-23,1408.26,1407.86,1412.93,1397.19,24507.0
2025-12-24,1404.99,1400.9,1406.36,1400.0,25187.0
2025-12-25,1405.0,1414.17,1419.48,1401.38,23386.0
2025-12-26,1414.17,1414.13,1419.14,1410.0,17803.0
2025-12-29,1414.13,1402.0,1414.13,1401.0,26308.0
2025-12-30,1401.0,1389.72,1401.9,1386.0,33792.0
2025-12-31,1390.0,1377.18,1394.0,1377.17,34766.0
2026-01-05,1385.0,1426.0,1431.88,1385.0,70949.0
2026-01-06,1432.55,1428.01,1436.97,1416.53,39586.0
2026-01-07,1432.88,1423.36,1435.0,1420.2,29684.0
2026-01-08,1423.33,1412.3,1423.36,1408.14,29135.0
2026-01-09,1417.0,1419.1,1428.6,1416.01,29848.0
2026-01-12,1419.1,1423.23,1431.0,1417.1,36083.0
2026-01-13,1426.79,1411.0,1429.52,1408.99,39169.0
2026-01-14,1411.0,1398.01,1422.25,1396.18,51758.0
2026-01-15,1396.02,1388.89,1402.83,1388.58,40907.0
2026-01-16,1395.0,1382.0,1397.5,1380.0,55121.0
2026-01-19,1381.9,1376.0,1387.49,1375.0,42286.0
2026-01-20,1379.5,1373.55,1381.58,1372.05,36484.0
2026-01-21,1373.56,1351.06,1374.4,1350.0,64516.0
2026-01-22,1352.01,1340.06,1361.76,1337.48,59011.0
2026-01-23,1340.1,1337.0,1348.0,1332.47,61949.0
2026-01-26,1340.51,1342.0,1355.0,1325.12,80166.0
2026-01-27,1344.98,1343.01,1353.7,1338.0,48416.0
2026-01-28,1343.04,1323.69,1346.71,1322.01,76218.0
2026-01-29,1335.0,1437.72,1445.0,1329.06,189534.0
2026-01-30,1435.0,1401.0,1435.0,1401.0,94480.0
2026-02-02,1425.0,1427.0,1458.58,1411.62,85724.0
2026-02-03,1445.0,1474.92,1476.81,1443.03,86321.0
2026-02-04,1485.0,1525.0,1533.27,1474.0,109123.0
2026-02-05,1520.0,1555.0,1565.0,1515.0,91623.0
2026-02-06,1555.0,1515.01,1568.0,1505.88,78965.0
2026-02-09,1518.0,1524.96,1542.88,1513.49,51168.0
2026-02-10,1524.97,1504.8,1524.97,1496.5,39576.0
2026-02-11,1504.8,1504.33,1514.0,1496.0,30928.0
2026-02-12,1500.2,1486.6,1502.82,1473.36,46246.0
2026-02-13,1486.6,1485.3,1507.8,1470.58,41679.0
2026-02-24,1521.0,1466.8,1524.4,1463.6,41913.0
2026-02-25,1470.0,1491.66,1509.66,1467.88,36881.0
2026-02-26,1486.6,1466.21,1489.49,1464.67,32958.0
2026-02-27,1466.99,1455.02,1476.21,1455.02,32160.0
2026-03-02,1450.0,1440.11,1457.0,1436.66,35454.0
2026-03-03,1440.1,1426.19,1452.87,1422.13,45891.0
2026-03-04,1415.0,1401.18,1423.0,1392.09,48014.0
2026-03-05,1406.0,1399.04,1412.96,1395.0,30505.0
2026-03-06,1395.0,1402.0,1407.5,1388.0,29154.0
2026-03-09,1390.0,1397.0,1404.9,1383.2,37442.0
2026-03-10,1404.9,1401.88,1409.49,1398.0,24626.0
2026-03-11,1402.99,1400.0,1405.99,1398.02,24457.0
2026-03-12,1395.0,1392.0,1403.95,1391.01,27586.0
2026-03-13,1392.48,1413.64,1417.62,1392.0,33608.0
2026-03-16,1420.0,1460.18,1466.0,1420.0,60086.0
2026-03-17,1468.0,1485.0,1498.07,1461.19,49454.0
2026-03-18,1489.0,1468.8,1496.5,1463.15,35551.0
2026-03-19,1472.96,1452.87,1473.0,1446.0,30319.0
2026-03-20,1452.96,1445.0,1462.5,1439.0,26132.0
2026-03-23,1433.33,1408.07,1435.0,1400.03,47256.0
2026-03-24,1416.0,1407.33,1417.59,1400.18,28562.0
2026-03-25,1410.11,1410.27,1417.87,1401.01,26093.0
2026-03-26,1409.0,1401.18,1413.9,1400.3,23093.0
2026-03-27,1400.0,1416.02,1426.0,1396.66,30087.0
